127.0.0.1 - - [10/Nov/2022:12:21:45 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:21:47 +0900] "GET /Cving02/index.jsp HTTP/1.1" 500 2455
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:21:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:22:08 +0900] "GET /Cving02/login.jsp HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:22:08 +0900] "GET /Cving02/css/cving.css HTTP/1.1" 200 6957
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:22:08 +0900] "GET /Cving02/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:22:08 +0900] "GET /Cving02/img/logoback.png HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:22:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:22:22 +0900] "POST /Cving02/loginok.jsp HTTP/1.1" 500 2552
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:20 +0900] "GET /Cving02/login.jsp HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:20 +0900] "GET /Cving02/css/cving.css HTTP/1.1" 200 6957
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:20 +0900] "GET /Cving02/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:20 +0900] "GET /Cving02/img/logoback.png HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:24 +0900] "POST /Cving02/loginok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:12:24:25 +0900] "GET /Cving02/index.jsp HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:09 +0900] "GET /Cving02/login.jsp HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "POST /Cving02/loginok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "GET /Cving02/index.jsp HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "GET /Cving02/img/img_null.png HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "GET /Cving02/img/movie_image1.jpg HTTP/1.1" 200 5412061
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "GET /Cving02/img/noir.jpg HTTP/1.1" 200 84493
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "GET /Cving02/img/thriller.jpg HTTP/1.1" 200 116204
0:0:0:0:0:0:0:1 - - [10/Nov/2022:14:14:15 +0900] "GET /Cving02/img/suspense.jpg HTTP/1.1" 200 387672
