,영화제목,개봉년도,제작년도,영화코드
0,01412 파사신검,2000,2000,29688
1,102 달마시안,2000,2000,29134
2,13번째 전사,2000,1999,24880
3,21세기 도망자,2000,2000,31531
4,24 아워 인 런던,2000,2000,31285
5,25살의 키스,2000,1999,24477
6,28일 동안,2000,2000,29141
7,4월 이야기,2000,1998,27404
8,6번째 날,2000,2000,31068
9,8과 1/2 우먼,2000,1999,30686
10,AD 2000,2000,2000,30792
11,CSI 라스베가스 시즌1,2000,2000,33083
12,TV 특종! 놀라운 세상,2000,2000,90562
13,TV소설 약속,2000,2000,90510
14,U-571,2000,2000,29146
15,@골뱅이,2000,2000,40028
16,가위,2000,2000,28992
17,가을 동화,2000,2000,31774
18,감각의 제국,2000,1976,16617
19,개 달리다,2000,1998,29726
20,갤럭시 퀘스트,2000,1999,28794
21,거짓말,2000,1999,26022
22,건드레스,2000,1999,28886
23,걸 온 더 브릿지,2000,1999,27321
24,겜블,2000,1999,29008
25,겟 카터,2000,2000,30907
26,결전,2000,2000,15828
27,고,2000,1999,24481
28,고스트 독 - 사무라이의 길,2000,1999,27285
29,고인돌 가족 2,2000,2000,29656
30,고질라 24 - 고질라 2000 밀레니엄,2000,1999,29207
31,고혹자 6 - 동경용호투,2000,2000,30797
32,곰돌이 푸 - 티거 무비,2000,2000,29027
33,공동경비구역 JSA,2000,2000,15899
34,공포 택시,2000,2000,29814
35,공포 특공대,2000,2000,30305
36,구멍,2000,1999,27274
37,구멍,2000,1998,27409
38,굿바이 러버,2000,1999,24495
39,그녀를 보기만 해도 알 수 있는 것,2000,2000,29142
40,그린 마일,2000,1999,28677
41,그린치,2000,2000,13761
42,그림 속 나의 마을,2000,1995,28779
43,그림일기,2000,1999,28268
44,극속전설,2000,1999,29183
45,글래디에이터,2000,2000,29217
46,글루미 선데이,2000,1999,14802
47,깡패 법칙,2000,2000,35972
48,깡패수업 3,2000,2000,29193
49,꼬마 돼지 베이브 2,2000,1998,24057
50,꼭지,2000,2000,41355
51,나 혼자 죽을 수 없다,2000,1999,31410
52,나쁜 친구들,2000,2000,40021
53,나인 야드,2000,2000,13707
54,나인스 게이트,2000,1999,26627
55,내 어머니의 모든 것,2000,1999,24666
56,너티 프로페서 2,2000,2000,29662
57,노마 진 앤 마릴린,2000,1996,29256
58,노블리,2000,2000,29143
59,녹정기 - 2000년 시리즈,2000,2000,47482
60,논스톱 2 - 뉴 논스톱,2000,2000,41381
61,뉴욕의 가을,2000,2000,30487
62,니딩 유 : 고남과녀,2000,2000,31260
63,다운 투 유,2000,2000,28897
64,다이너소어,2000,2000,29714
65,다크 엔젤 - TV 시리즈,2000,2000,32237
66,단적비연수,2000,2000,28855
67,대학로에서 매춘하다가 토막 살해 당한 여고생 아직 대학로에 있다,2000,2000,30138
68,더 갱스터,2000,2000,31012
69,더 셀,2000,2000,30317
70,더 파이팅,2000,2000,37424
71,덕이,2000,2000,40198
72,데스티네이션,2000,2000,29223
73,도그마,2000,1999,27905
74,도브,2000,1997,28909
75,동감,2000,2000,29756
76,동경공략,2000,2000,15862
77,동물 농장,2000,1999,30102
78,두 낫 디스터브,2000,1999,30727
79,듀스 비갈로,2000,1999,28530
80,디얼리 디보티드,2000,1998,30795
81,디지몬 어드벤처,2000,1999,79335
82,디펜스,2000,1998,29284
83,디플로메틱 시즈,2000,1999,30767
84,딜리버리,2000,1999,31065
85,딥 코아,2000,2000,31011
